qViagens = 40;
qPontosCarga = 2;
qBetoneiras = 3;
M = 10000;
dp = [
[0, 0],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7],
[7, 7]
];
dv = [
[0, 0],
[26.9, 15],
[23.7, 15.2],
[37.9, 16.6],
[11.9, 48.5],
[43.4, 48.9],
[41.1, 45.9],
[31.8, 14.4],
[34.7, 39.1],
[39.1, 33],
[20.7, 33.9],
[28.3, 42.8],
[49.3, 19.8],
[39.6, 26.2],
[14.6, 31.8],
[32.3, 11.3],
[39.1, 10.2],
[26.6, 49.3],
[12, 42.5],
[27.7, 24.7],
[39.4, 40.6],
[21.9, 15.1],
[45.3, 32.5],
[43.3, 37.9],
[36.7, 37.4],
[40.5, 15.8],
[48.3, 41.5],
[42.4, 25.3],
[49.9, 34.1],
[15.7, 13.9],
[25.7, 21.7],
[12.1, 30],
[26.2, 42.1],
[19.8, 40.9],
[29.3, 32.5],
[12.4, 42.2],
[21.4, 24.3],
[43.6, 30],
[22, 23.2],
[47.5, 26.9]
];
td = [
0, 14.5, 14.2, 11.2, 13.4, 11.3, 17, 11.7, 10.5, 19.6, 18.4, 19.7, 17.8, 19, 15.5, 11.1, 16.2, 17.3, 17.3, 15.7, 12.7, 16, 14.6, 18.2, 19.8, 12.4, 17.4, 14, 11.1, 15.5, 15.6, 10.3, 17.3, 10.1, 14.2, 19.8, 10.5, 18.1, 14.4, 13.7];
tmaxvc = [
0, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120];
hs = [
0, 741.8, 715.4, 464.4, 647.5, 470.2, 945.2, 499.6, 399.2, 1169.1, 1062.2, 1175.9, 1013.5, 1114.9, 818.6, 451.6, 879.4, 970.3, 970.5, 842.5, 583.9, 862.2, 743.4, 1049.3, 1185.6, 565.8, 981.2, 699.4, 455.9, 818.7, 828.7, 387.4, 970.5, 364.6, 708.8, 1185.3, 401.3, 1043, 731.8, 669.7];
f = [
[0, 0],
[116.9, 105],
[113.7, 105.2],
[127.9, 106.6],
[101.9, 138.5],
[133.4, 138.9],
[131.1, 135.9],
[121.8, 104.4],
[124.7, 129.1],
[129.1, 123],
[110.7, 123.9],
[118.3, 132.8],
[139.3, 109.8],
[129.6, 116.2],
[104.6, 121.8],
[122.3, 101.3],
[129.1, 100.2],
[116.6, 139.3],
[102, 132.5],
[117.7, 114.7],
[129.4, 130.6],
[111.9, 105.1],
[135.3, 122.5],
[133.3, 127.9],
[126.7, 127.4],
[130.5, 105.8],
[138.3, 131.5],
[132.4, 115.3],
[139.9, 124.1],
[105.7, 103.9],
[115.7, 111.7],
[102.1, 120],
[116.2, 132.1],
[109.8, 130.9],
[119.3, 122.5],
[102.4, 132.2],
[111.4, 114.3],
[133.6, 120],
[112, 113.2],
[137.5, 116.9]
];
c = [
[0, 0],
[56.9, 45],
[53.7, 45.2],
[67.9, 46.6],
[41.9, 78.5],
[73.4, 78.9],
[71.1, 75.9],
[61.8, 44.4],
[64.7, 69.1],
[69.1, 63],
[50.7, 63.9],
[58.3, 72.8],
[79.3, 49.8],
[69.6, 56.2],
[44.6, 61.8],
[62.3, 41.3],
[69.1, 40.2],
[56.6, 79.3],
[42, 72.5],
[57.7, 54.7],
[69.4, 70.6],
[51.9, 45.1],
[75.3, 62.5],
[73.3, 67.9],
[66.7, 67.4],
[70.5, 45.8],
[78.3, 71.5],
[72.4, 55.3],
[79.9, 64.1],
[45.7, 43.9],
[55.7, 51.7],
[42.1, 60],
[56.2, 72.1],
[49.8, 70.9],
[59.3, 62.5],
[42.4, 72.2],
[51.4, 54.3],
[73.6, 60],
[52, 53.2],
[77.5, 56.9]
];
pb = [
[1, 0, 0],
[0, 1, 1]
];
